,Label,Array_Index,Indentation_Number,PEAK_HARDNESS_AVERAGE,VALLEY_HARDNESS_AVERAGE,STRAIN_RATE_SENSITIVITY,ACTIVATION_VOLUME,Area Mean,equivalent_diameter Mean,Aspect Ratio Mean,OrientMax0,OrientMax1,OrientMax2,OrientMax3,OrientMode0,OrientMode1,OrientMode2,OrientMode3,R_Max,G_Max,B_Max,R_Mode,G_Mode,B_Mode
121,Carl,8,10,2.635283649055791,2.599301663062915,0.0029853413716229,165.5027393294077,4.3457801949541865,2.0214848740384226,3.8716404701446487,0.841958437673927,-0.11965649336162991,-0.10716748030541991,-0.5150761535841721,0.8466141488428828,-0.11625346322097192,-0.10467508844779326,-0.5086971015512256,1.0,0.5934567609999168,0.26115653542338046,1.0,0.5736555170530743,0.2689113306329207
125,Carl,8,14,2.643759869456539,2.5611135065862785,0.0068965897497894,72.05540620924641,3.043575196174752,1.7564357916504585,3.022497999512561,0.10786011079025377,-0.6267548034006001,-0.7401349637351468,0.21850594584899152,0.10383089577761859,-0.6415140361472944,-0.7250997138295572,0.22783610669145363,1.0,0.8900827739659452,0.8674284230694314,1.0,0.9156493436384117,0.9095709940427903
126,Carl,8,15,2.7480723105954605,2.6991573618727105,0.0038999756974402,121.74432159966084,5.057586981596729,2.140729264975539,3.630864971273008,0.11872373037417792,-0.6250858692966961,-0.7386323922568064,0.22269827336694947,0.3622557990470445,-0.40029699432348703,-0.4943256200596018,0.6813040684929599,1.0,0.9364236966929435,0.835718763439262,1.0,0.7221332137430274,0.783644244710635
136,Carl,9,9,2.5635367817407024,2.456115863981441,0.0092953514420126,55.43722184239115,1.8360430837600543,1.3661080414065705,2.476070159170446,0.6337451843920868,-0.5538013243249964,-0.19634148072889296,-0.503111476097401,0.6375140914180475,-0.5523374641860204,-0.20103439623378605,-0.49808059632040996,1.0,0.004228250570099457,0.8388949903746996,1.0,0.05699473155949697,0.8025738262249439
139,Carl,9,12,2.8288944190595715,2.730440664774392,0.007691997779217,60.48644149296651,1.4217874059591586,1.270294103867936,1.6157847573131394,0.2494730853551892,-0.2959326473431934,-0.4722795411609723,0.7919211342808027,0.24794526756012564,-0.26495963211660256,-0.45892354478071395,0.8109924276397878,0.2739170399150346,0.592369319224553,1.0,0.11639646790168645,0.4182662035942012,1.0
141,Carl,9,14,2.62148849727719,2.538337298712224,0.0069993125125215,71.61793637503197,1.353126233653503,1.2442671509671253,1.6421504631887216,0.2385572312781882,-0.2938219655607347,-0.42387291150141776,0.8228553061469694,0.2218512222608256,-0.2954137035920119,-0.42189449194923784,0.8279600331986582,0.3283306227403888,0.3316879267778787,1.0,0.2830663955423396,0.3285399575898301,1.0
145,Carl,10,2,2.539708290604623,2.43448093085414,0.0091887297922379,56.59286009317573,2.49204851826151,1.5842299780541906,2.3588165120561286,0.48072947452622516,-0.737719460441026,-0.41035751994191827,-0.23722536929143828,0.7586121564838267,0.04936555627608983,-0.5642508901906156,0.3220117556978443,1.0,0.9281420397885015,0.20516813686443203,0.7305565959302988,0.301168331126648,1.0
151,Carl,10,8,2.5562138604967126,2.4439578196174816,0.0097517396276144,53.04941454990493,1.4107804207719026,1.2756417045113535,1.606171850394476,0.2934269775131634,-0.2611556318927017,-0.4524213029068009,0.8006330679370706,0.2916201112176079,-0.2612492823579744,-0.4524970304849193,0.8012196706292248,0.2932639183842758,0.3699207512415348,1.0,0.28636544029943956,0.37026195227102887,1.0
153,Carl,10,10,2.9934256667020684,2.8373945506366534,0.0116243739100867,38.16621580683147,4.890138683728256,2.105988056224525,4.583842990302236,0.4384273730173733,-0.41518116161871554,-0.5935077161399098,-0.532122760750193,0.6829691699645223,-0.5247813516342255,-0.3473451994314529,-0.37082200350956973,1.0,0.10643708112263273,0.14887779164156234,1.0,0.407271930522367,0.3807583028349475
154,Carl,10,11,2.7690784123976337,2.699841056084538,0.0054985282959004,86.01017666538256,11.702396585653991,3.3508034797023587,11.287140047997298,0.34564876582882326,-0.4281256123246555,0.6001539169036366,0.5805606486646102,0.3504546321499255,-0.4192380952038104,0.5770317346112972,0.6070052286315322,1.0,0.017361983409805992,0.1578003176092344,1.0,0.17863741544889633,0.07795211610882591
