Label,Array_Index,Indentation_Number,PEAK_HARDNESS_AVERAGE,PEAK_HARDNESS_STD,VALLEY_HARDNESS_AVERAGE,VALLEY_HARDNESS_STD,STRAIN_RATE_SENSITIVITY,STRAIN_RATE_SENSITIVITY_STD,ACTIVATION_VOLUME,ACTIVATION_VOLUME_STD,Area Mean,Area Std,equivalent_diameter Mean,equivalent_diameter Std,orientation Mean 0,orientation Std 0,orientation Mean 1,orientation Std 1,Aspect Ratio Mean,Aspect Ratio Std,orientation Mean 2,orientation Std 2,Crystal Type,euler_angle_max,euler_angle_std,euler_angle_2nd_max,euler_angle_2nd_std,mode_euler_angle,prob_threshold
Carl,9,1,,,,,,,,,3.446934912424781,3.1874997028655776,1.875582908900032,0.933253765312286,-57.2433799240556,18.278686202566096,-59.12429377647512,5.851038482000499,3.517660023133113,2.712938904802341,,,Double Crystal,[156.46722227  62.96636573 160.45270953],[1.18084131 1.33872971 1.01659571],[ 0.          0.         60.75679553],[0.         0.         1.01998956],[152  65 160],0.05
Carl,9,2,,,2.5793714960255416,0.0375140915554421,,,,,3.170192273497378,3.243320374713585,1.7822863467894667,0.9272915103022288,-64.51518410380837,12.60411362107755,27.044001326976755,7.972627061494481,3.061124460090036,2.319616698532495,,,Single Crystal,[155.35886979  66.69681945 157.63551186],[1.2739827  1.94997352 1.6986436 ],[0. 0. 0.],[0. 0. 0.],[152  66 156],0.08
Carl,9,3,,,2.7112333680331995,0.035053006838781,,,,,3.034869283766485,3.1944857447166592,1.7392622283112966,0.9160144575077362,-67.96295625463382,12.287661869319065,,,3.079298342891966,2.459434531638624,,,Double Crystal,[152.77974754  64.87325092 160.02794154],[1.57080033 1.04084854 1.88545532],[124.01537547   0.         180.6204916 ],[0.81693801 0.         0.76842966],[152  63 180],0.05
Carl,9,4,,,2.4344450218481253,0.0223098385004711,,,,,5.930088561282342,6.376071196836141,2.3499939469426967,1.424061694358434,78.24009715283404,4.6751695560778375,,,4.786101295358543,3.7969893247855495,,,Double Crystal,[194.78925802 106.81890955 200.32489979],[0.75031631 1.08243492 0.70728196],[290.75595302   0.         334.74148607],[1.18576781 0.         1.03944775],[194 109 200],0.05
Carl,9,5,,,2.633620291756515,0.017570893092972,,,,,2.117874711380287,2.0621449799619542,1.4896458122943108,0.6910261841912897,17.55131205383653,26.305674343345345,-52.88194528195616,8.491052647545624,2.3667829043751785,1.5908246668471893,,,Double Crystal,[ 61.05342294 106.52560959 340.47231164],[0.71686069 0.41372731 0.28333832],[336.98914651  26.18474563 253.13862384],[0.64288628 1.02888401 0.14026678],[ 61 106 250],0.03
Carl,9,6,,,2.8509682214294,0.0223965269568353,,,,,2.122834460168323,2.365940478114549,1.4714227398864652,0.733342963529233,-62.65450305368214,15.278143368458046,29.0597342620649,18.30974929593031,2.0348196299203978,1.302865561238631,,,Double Crystal,[158.23126621  72.01440064 161.04043388],[1.72607422 1.35572456 1.29181094],[62.58551639  0.         17.71197037],[1.02684379 0.         0.79324733],[157  73 161],0.05
Carl,9,7,,,,,,,,,3.864375024808645,4.806976676680791,1.8743785368894708,1.1861619609991627,-57.18830184507027,13.18585103093574,,,3.905557944918244,4.315730158358914,,,Single Crystal,[ 66.69783358  98.81424797 357.26676316],[1.26174093 1.22296045 0.99906311],[0. 0. 0.],[0. 0. 0.],[ 65  10 356],0.05
Carl,9,8,,,2.2178211794328027,0.0144668518972413,,,,,6.747126059287083,7.972000463094834,2.4629815899149423,1.5888453039039083,81.47764176772286,5.670059211724193,,,4.395737795963662,3.6696847945065634,,,Polycrystal,[118.08922286  96.95107087 166.7465535 ],[2.10104645 1.88104633 1.33076194],[  0.           0.         344.15937383],[0.         0.         1.70972204],[118 100 166],0.05
Carl,9,9,2.5635367817407024,0.0037313701136266,2.456115863981441,0.0192232990824101,0.0092953514420126,0.0094547301059517,55.43722184239115,10.10582328066458,1.8360430837600543,2.019846148691644,1.3661080414065705,0.6866378079345041,31.751204673727457,11.020168956687378,-62.41203965991601,14.337363520746962,2.476070159170446,2.196120607714958,,,Double Crystal,[57.96617165 71.97040321 18.92386205],[1.04231055 1.61269618 0.8534769 ],[154.32566932   0.         234.67281576],[1.33031209 0.         0.6797134 ],[58 72 18],0.05
Carl,9,10,,,,,,,,,2.787637003394324,3.010354505784165,1.6653648115566846,0.8808460214574687,29.76177585409085,7.16211090591109,-60.93801307376051,9.232384900626045,3.061207780934925,2.075152202644285,,,Single Crystal,[153.17569289  71.44504388 156.58940122],[1.43339375 0.66818759 1.55718269],[57.618127  0.        0.      ],[1.37306066 0.         0.        ],[153  74 159],0.05
Carl,9,11,,,2.707768579187029,0.0209269283123198,,,,,1.6587621468318738,1.2688873357947388,1.3618854272724183,0.5072175506024603,-26.38692346207866,18.575658592084185,-57.207002192920406,17.14594529989501,1.8914225491847836,0.8025537725079861,,,Single Crystal,[345.00509821  72.48085131 234.5935184 ],[0.57854436 5.9452526  2.1233045 ],[0. 0. 0.],[0. 0. 0.],[347  72 236],0.08
Carl,9,12,2.8288944190595715,0.0040529797739372,2.730440664774392,0.0252432836971366,0.007691997779217,0.0079557460293044,60.48644149296651,15.70718619380375,1.4217874059591586,1.0029556669435442,1.270294103867936,0.4434285051189024,70.86290456571913,11.936530506824532,38.90270220510207,13.926590328829125,1.6157847573131394,0.4854891800432755,,,Single Crystal,[345.41414997  67.74361191 229.55706469],[1.10109642 1.70428181 1.19853105],[0. 0. 0.],[0. 0. 0.],[347  64 227],0.05
Carl,9,13,,,,,,,,,2.537100667254832,2.455494949746256,1.6194914657963118,0.7794769340626659,76.21009685526865,7.607933199069676,-21.277554440910254,8.69997095805153,2.7781939198603145,1.81702056925294,,,Single Crystal,[285.8867242   90.29299189 233.07261769],[1.04214805 1.08224581 1.13786122],[0. 0. 0.],[0. 0. 0.],[285  91 233],0.05
Carl,9,14,2.62148849727719,0.0064187633835685,2.538337298712224,0.0221823734746863,0.0069993125125215,0.0072714574006472,71.61793637503197,19.889417636819637,1.353126233653503,0.969430896671362,1.2442671509671253,0.4179151669063292,-39.86376424787541,15.073085049597946,,,1.6421504631887216,0.5985961833714494,,,Double Crystal,[341.43852618  62.09539683 230.89669588],[1.03063515 1.12541997 1.07007776],[195.29985939   0.          95.44508711],[1.26284281 0.         1.40197618],[340  62 230],0.05
Carl,9,15,,,2.650574906012126,0.0223334792046021,,,,,1.7479265632083187,1.5473564476825454,1.3758752206412836,0.5766251805073694,-63.99481854781921,14.01651803886696,,,1.89680453530211,0.8569312320330974,,,Single Crystal,[336.04165766  66.4480598  241.95073051],[1.7425929  2.93426814 1.97175058],[54.62055649  0.          0.        ],[1.11129855 0.         0.        ],[336  64 245],0.05
Carl,9,16,,,2.7663105432505164,0.0249570474076073,,,,,4.0622806509302825,4.545819898956024,1.9818051309494595,1.1156633853987183,-60.91481110867269,11.13534760867546,,,2.855975538341981,1.9975381089683453,,,Double Crystal,[ 57.9767728  111.68388129 245.94991289],[1.5095543  1.45936231 1.87111825],[338.23786648  25.25104931   0.        ],[1.91225463 1.27349458 0.        ],[ 57  25 245],0.05
